Id,Agree Tou,Lastlogin,Facebook Username,Username,Foreignaccount,Foreignaccount Done,Foreignaccount Redirect,Foreignaccount Auth,Facebook Firstname,Facebook Lastname,Faillogin Count,Faillogin Datetime,Domain ImportID,ImportID Event,Domain ImportID Event,Is Sponsor,Has Profile,Publish Contact,Notify Traffic Listing,Active,Newsletter,First Name,Last Name,Company,Address,Address2,City,State,Zip,Country,Phone,Fax,Email,Url
1,1,2013-02-28 17:24:52,,john@sample.com,n,n,,,,,,,,,,y,y,n,n,y,n,John,Childs,"Ads, Inc.",5718 25th St N,,Arlington,VA,22207,,111 222 3333,703 842 8199,test_email@edirectory.com,http://www.arcasolutions.com
2,1,2012-11-30 14:47:56,,amanda@sample.com,n,n,,,,,,,,,,y,y,n,n,y,n,Amanda,Jackson,The House,123 Main Street N,Suite 03,Vienna,VA,12345,,111 222 3333,444 555 6666,test_email@edirectory.com,http://www.edirectory.com
3,1,2013-05-30 12:15:15,,charles@sample.com,n,n,,,,,,,,,,y,y,n,n,y,n,Charles,Perkins,The View,123 Main Street N,,San Francisco,CA,12345,,111 222 3333,444 555 6666,charles@sample.com,http://www.arcasolutions.com
4,,2012-11-30 14:44:35,,jane@sample.com,n,n,,,,,,,,,,y,y,n,n,y,n,Jane,Lopes,"Diverse, Inc.",5656 Main Street N,Suite 23,Miami,FL,34567,,123 123 1235,123 123 1236,test_email@edirectory.com,http://www.diversesample.com
6,1,2013-06-03 09:28:42,,daniel@sample.com,n,n,,,,,,,,,,y,y,n,n,y,n,Daniel,Willis,Restaurants & Co.,122 Europe Street N,5th floor,New York,NY,34567,,012 012 0124,,test_email@edirectory.com,
7,1,2013-06-13 17:39:38,,brandon@sample.com,n,n,,,,,,,,,,y,y,n,n,y,n,Brandon,C,Eating Inc.,888 Center Street N,,Arlington,VA,22123,,703 434 3434,,test_email@edirectory.com,
8,1,2013-06-03 09:40:29,,andrew@sample.com,n,n,,,,,,,,,,y,y,n,n,y,n,Andrew,Hunt,Airlines Inc.,090 First Street T,3rd floor,Miami,FL,33434,,333 444 4444,,test_email@edirectory.com,
9,1,2013-06-03 09:16:56,,julia@sample.com,n,n,,,,,,,,,,y,y,n,n,y,n,Julia,Case,Your Hotel,889 Yellow Street,,San Francisco,CA,28980,,454 454 4444,,test_email@edirectory.com,
10,1,2013-06-03 09:02:17,,tony@sample.com,n,n,,,,,,,,,,y,y,n,n,y,n,Anthony,Bill,Airlines,PO Box 345,5th floor,New York,NY,67677,,901 123 1234,,test_email@edirectory.com,
12,,2012-11-30 16:02:42,,george@sample.com,n,n,,,,,,,,,,y,y,n,n,y,n,George,Cage,Sports,127 25th Street,,New York,NY,12345,,012 012 0124,,test_email@edirectory.com,
13,,2012-11-30 14:42:29,,beth@sample.com,n,n,,,,,,,,,,y,y,n,n,y,n,Elizabeth,Wilson,Skin Care,127 25th Street,,New York,NY,12345,,012 123 4576,,test_email@edirectory.com,
14,,2013-06-03 09:23:09,,harold@sample.com,n,n,,,,,,,,,,y,y,n,n,y,n,Harold,Brown,Cars,127 25th Street,,Denver,Colorado,,,012 012 1234,,test_email@edirectory.com,
15,,2012-11-30 15:01:09,,kath@sample.com,n,n,,,,,,,,,,y,y,n,n,y,n,Kath,Smith,Gym,127 Main Street,,Los Angeles,CA,55647,,025 223 5547,,test_email@edirectory.com,
16,,2012-11-30 14:58:35,,jake@sample.com,n,n,,,,,,,,,,y,y,n,n,y,n,Jake,Roberts,Athletic,225 Ocean Avenue,,San Francisco,CA,25475,,225 221 2576,,test_email@edirectory.com,
